model,representation,window_size_frames,subset,label,metric,n_folds_with_support,mean,standard_deviation,minimum,maximum
tcn,R0,60,validation,alert,recall,4,0.8976623013850724,0.035011889616946644,0.8519269776876268,0.9351851851851852
tcn,R0,60,validation,alert,f1,4,0.9049289107789419,0.026423088397228657,0.8700155359917141,0.933456561922366
tcn,R0,60,validation,distraction,precision,4,0.30244714576488424,0.0754408149979606,0.21348314606741572,0.3973509933774834
tcn,R0,60,validation,distraction,recall,4,0.3787768031189084,0.10263839346560273,0.25,0.5
tcn,R0,60,validation,distraction,f1,4,0.3324593808628292,0.07162066111373203,0.23030303030303031,0.38338658146964855
tcn,R0,60,validation,fatigue,precision,4,0.0,0.0,0.0,0.0
tcn,R0,60,validation,fatigue,recall,4,0.0,0.0,0.0,0.0
tcn,R0,60,validation,fatigue,f1,4,0.0,0.0,0.0,0.0
tcn,R1,60,test,alert,precision,4,0.8317328687462391,0.0850296595529572,0.7092568448500652,0.9008908685968819
tcn,R1,60,test,alert,recall,4,0.8979517190929042,0.20409656181419167,0.5918068763716167,1.0
tcn,R1,60,test,alert,f1,4,0.8479249410255753,0.09970226079427447,0.7143487858719647,0.9327485380116959
tcn,R1,60,test,distraction,precision,4,0.018272425249169437,0.036544850498338874,0.0,0.07308970099667775
tcn,R1,60,test,distraction,recall,4,0.09821428571428571,0.19642857142857145,0.0,0.39285714285714285
tcn,R1,60,test,distraction,f1,4,0.03081232492997199,0.06162464985994399,0.0,0.12324929971988796
tcn,R1,60,test,fatigue,precision,2,0.0,0.0,0.0,0.0
tcn,R1,60,test,fatigue,recall,2,0.0,0.0,0.0,0.0
tcn,R1,60,test,fatigue,f1,2,0.0,0.0,0.0,0.0
tcn,R1,60,validation,alert,precision,4,0.8866574282665406,0.02862737302605077,0.8593220338983051,0.9207161125319693
tcn,R1,60,validation,alert,recall,4,0.9087221095334685,0.1825557809330629,0.6348884381338742,1.0
tcn,R1,60,validation,alert,f1,4,0.8908010055411254,0.10615177940415665,0.7330210772833724,0.9587217043941412
tcn,R1,60,validation,distraction,precision,4,0.04020979020979021,0.08041958041958042,0.0,0.16083916083916083
tcn,R1,60,validation,distraction,recall,4,0.11348684210526316,0.22697368421052633,0.0,0.45394736842105265
