model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,configuration_id,representation,window_size_frames,seed
lstm,temporal_r1,1,validation,alert,0.8615520282186949,0.9635108481262328,0.909683426443203,1014,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
lstm,temporal_r1,1,validation,fatigue,0.0,0.0,0.0,4,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
lstm,temporal_r1,1,validation,distraction,0.15217391304347827,0.043209876543209874,0.0673076923076923,162,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
lstm,temporal_r1,1,test,alert,0.6863753213367609,0.7362132352941176,0.7104212860310422,1088,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
lstm,temporal_r1,1,test,fatigue,0.0,0.0,0.0,67,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
lstm,temporal_r1,1,test,distraction,0.1880108991825613,0.1820580474934037,0.18498659517426275,379,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
tcn,temporal_r1,1,validation,alert,0.8593220338983051,1.0,0.9243391066545124,1014,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
tcn,temporal_r1,1,validation,fatigue,0.0,0.0,0.0,4,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
tcn,temporal_r1,1,validation,distraction,0.0,0.0,0.0,162,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
tcn,temporal_r1,1,test,alert,0.7092568448500652,1.0,0.8299008390541571,1088,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
tcn,temporal_r1,1,test,fatigue,0.0,0.0,0.0,67,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
tcn,temporal_r1,1,test,distraction,0.0,0.0,0.0,379,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42
