model,subset,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
lstm,test,accuracy,1,0.7931299881017563,0.0,0.7931299881017563,0.7931299881017563,0.7931299881017563,nan,nan
lstm,test,balanced_accuracy,1,0.40935513467295465,0.0,0.40935513467295465,0.40935513467295465,0.40935513467295465,nan,nan
lstm,test,macro_f1_all_classes,1,0.3105600236479051,0.0,0.3105600236479051,0.3105600236479051,0.3105600236479051,nan,nan
lstm,test,best_epoch,1,2.0,0.0,2.0,2.0,2.0,nan,nan
lstm,test,stopping_epoch,1,17.0,0.0,17.0,17.0,17.0,nan,nan
lstm,test,best_validation_macro_f1,1,0.316346975848868,0.0,0.316346975848868,0.316346975848868,0.316346975848868,nan,nan
lstm,test,training_seconds,1,9.815535099995031,0.0,9.815535099995031,9.815535099995031,9.815535099995031,nan,nan
lstm,validation,accuracy,1,0.8735311214896592,0.0,0.8735311214896592,0.8735311214896592,0.8735311214896592,nan,nan
lstm,validation,balanced_accuracy,1,0.3323166487962437,0.0,0.3323166487962437,0.3323166487962437,0.3323166487962437,nan,nan
lstm,validation,macro_f1_all_classes,1,0.316346975848868,0.0,0.316346975848868,0.316346975848868,0.316346975848868,nan,nan
lstm,validation,best_epoch,1,2.0,0.0,2.0,2.0,2.0,nan,nan
lstm,validation,stopping_epoch,1,17.0,0.0,17.0,17.0,17.0,nan,nan
lstm,validation,best_validation_macro_f1,1,0.316346975848868,0.0,0.316346975848868,0.316346975848868,0.316346975848868,nan,nan
lstm,validation,training_seconds,1,9.815535099995031,0.0,9.815535099995031,9.815535099995031,9.815535099995031,nan,nan
tcn,test,accuracy,1,0.7486768182636853,0.0,0.7486768182636853,0.7486768182636853,0.7486768182636853,nan,nan
tcn,test,balanced_accuracy,1,0.4153886682690633,0.0,0.4153886682690633,0.4153886682690633,0.4153886682690633,nan,nan
tcn,test,macro_f1_all_classes,1,0.2929124219851824,0.0,0.2929124219851824,0.2929124219851824,0.2929124219851824,nan,nan
tcn,test,best_epoch,1,1.75,0.0,1.75,1.75,1.75,nan,nan
tcn,test,stopping_epoch,1,16.75,0.0,16.75,16.75,16.75,nan,nan
tcn,test,best_validation_macro_f1,1,0.3167271280662042,0.0,0.3167271280662042,0.3167271280662042,0.3167271280662042,nan,nan
tcn,test,training_seconds,1,1078.7879216000001,0.0,1078.7879216000001,1078.7879216000001,1078.7879216000001,nan,nan
tcn,validation,accuracy,1,0.8208541162001934,0.0,0.8208541162001934,0.8208541162001934,0.8208541162001934,nan,nan
tcn,validation,balanced_accuracy,1,0.34073631721291053,0.0,0.34073631721291053,0.34073631721291053,0.34073631721291053,nan,nan
tcn,validation,macro_f1_all_classes,1,0.3167271280662042,0.0,0.3167271280662042,0.3167271280662042,0.3167271280662042,nan,nan
tcn,validation,best_epoch,1,1.75,0.0,1.75,1.75,1.75,nan,nan
tcn,validation,stopping_epoch,1,16.75,0.0,16.75,16.75,16.75,nan,nan
tcn,validation,best_validation_macro_f1,1,0.3167271280662042,0.0,0.3167271280662042,0.3167271280662042,0.3167271280662042,nan,nan
tcn,validation,training_seconds,1,1078.7879216000001,0.0,1078.7879216000001,1078.7879216000001,1078.7879216000001,nan,nan
