model,subset,seed,accuracy,balanced_accuracy,macro_f1_all_classes,best_epoch,stopping_epoch,best_validation_macro_f1,training_seconds
lstm,test,42,0.7931299881017563,0.40935513467295465,0.3105600236479051,2.0,17.0,0.316346975848868,9.815535099995031
lstm,validation,42,0.8735311214896592,0.3323166487962437,0.316346975848868,2.0,17.0,0.316346975848868,9.815535099995031
tcn,test,42,0.7486768182636853,0.4153886682690633,0.2929124219851824,1.75,16.75,0.3167271280662042,1078.7879216000001
tcn,validation,42,0.8208541162001934,0.34073631721291053,0.3167271280662042,1.75,16.75,0.3167271280662042,1078.7879216000001
