model,ablation,fold,subset,label,precision,recall,f1,support,run_id,generation,configuration_id,representation,window_size_frames,seed
tcn,temporal_r2,3,validation,distraction,0.2828282828282828,0.3684210526315789,0.32,152,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_3__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,3,test,alert,0.9431734317343173,0.9348939283101683,0.9390154298310066,1367,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_3__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,3,test,fatigue,0.0,0.0,0.0,21,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_3__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,3,test,distraction,0.3724137931034483,0.48214285714285715,0.42023346303501946,112,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_3__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,4,validation,alert,0.9220512820512821,0.8883399209486166,0.9048817312531454,1012,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,4,validation,fatigue,0.0,0.0,0.0,17,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,4,validation,distraction,0.24666666666666667,0.3854166666666667,0.3008130081300813,96,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,4,test,alert,0.8914728682170543,0.8411703239289446,0.8655913978494624,957,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,4,test,fatigue,,,,0,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
lstm,temporal_r2,4,test,distraction,0.20833333333333334,0.2898550724637681,0.24242424242424243,138,G3__qualification_r2_w60_b1024__lstm__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,4,validation,alert,0.93125,0.883399209486166,0.9066937119675457,1012,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,4,validation,fatigue,0.0,0.0,0.0,17,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,4,validation,distraction,0.28484848484848485,0.4895833333333333,0.36015325670498083,96,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,4,test,alert,0.8922222222222222,0.8390804597701149,0.8648357565966612,957,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,4,test,fatigue,,,,0,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
tcn,temporal_r2,4,test,distraction,0.21025641025641026,0.2971014492753623,0.24624624624624625,138,G3__qualification_r2_w60_b1024__tcn__r2__w60__fold_4__seed_42,G3,qualification_r2_w60_b1024,R2,60,42
