model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,configuration_id,representation,window_size_frames,seed,best_epoch,stopping_epoch,best_validation_macro_f1,best_training_loss,best_validation_loss,training_seconds,parameter_count,model_size_bytes,peak_gpu_memory_bytes,inference_seconds,inference_windows_per_second
lstm,temporal_r1,1,validation,1180,0.8338983050847457,0.33557357488981426,0.32566370625029845,0.32566370625029845,"[""alert"", ""fatigue"", ""distraction""]",[],2.3686946999951033,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42,1,16,0.32566370625029845,1.0795489879891271,1.0326304334705159,2.3686946999951033,51651,651538,376863232,0.019274500002211425,61220.78393030246
lstm,temporal_r1,1,test,1534,0.5671447196870926,0.30609042759584043,0.2984692937351016,0.2984692937351016,"[""alert"", ""fatigue"", ""distraction""]",[],2.3686946999951033,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42,1,16,0.32566370625029845,1.0795489879891271,1.0326304334705159,2.3686946999951033,51651,651538,376863232,0.025119999998423737,61066.878984723626
tcn,temporal_r1,1,validation,1180,0.8593220338983051,0.3333333333333333,0.3081130355515041,0.3081130355515041,"[""alert"", ""fatigue"", ""distraction""]",[],270.89159449999715,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42,2,17,0.3081130355515041,0.8220751251936476,0.5959820227097656,270.89159449999715,49379,636796,188977152,3.7907339000012144,311.2853687776982
tcn,temporal_r1,1,test,1534,0.7092568448500652,0.3333333333333333,0.2766336130180524,0.2766336130180524,"[""alert"", ""fatigue"", ""distraction""]",[],270.89159449999715,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_1__seed_42,G3,qualification_r1_w60_b1024,R1,60,42,2,17,0.3081130355515041,0.8220751251936476,0.5959820227097656,270.89159449999715,49379,636796,188977152,5.201099999998405,294.9376093519583
lstm,temporal_r1,2,validation,1173,0.9198635976129582,0.3330246913580247,0.3194197750148016,0.3194197750148016,"[""alert"", ""fatigue"", ""distraction""]",[],2.324515899999824,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_2__seed_42,G3,qualification_r1_w60_b1024,R1,60,42,3,18,0.3194197750148016,0.9877542837751022,0.9186114646996175,2.324515899999824,51651,651730,377265664,0.02367660000163596,49542.58634765761
lstm,temporal_r1,2,test,1864,0.8412017167381974,0.4990451941438574,0.4568764568764569,0.3045843045843046,"[""alert"", ""distraction""]","[""fatigue""]",2.324515899999824,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_2__seed_42,G3,qualification_r1_w60_b1024,R1,60,42,3,18,0.3194197750148016,0.9877542837751022,0.9186114646996175,2.324515899999824,51651,651730,377265664,0.03548469999805093,52529.681809410366
tcn,temporal_r1,2,validation,1173,0.9207161125319693,0.3333333333333333,0.3195739014647137,0.3195739014647137,"[""alert"", ""fatigue"", ""distraction""]",[],251.8068757000001,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_2__seed_42,G3,qualification_r1_w60_b1024,R1,60,42,2,17,0.3195739014647137,0.9233813546174483,0.7194796101414842,251.8068757000001,49379,636796,188977152,3.810205200003111,307.8574350796231
tcn,temporal_r1,2,test,1864,0.8428111587982833,0.5,0.45735080058224165,0.30490053372149445,"[""alert"", ""distraction""]","[""fatigue""]",251.8068757000001,False,G3__qualification_r1_w60_b1024__tcn__r1__w60__fold_2__seed_42,G3,qualification_r1_w60_b1024,R1,60,42,2,17,0.3195739014647137,0.9233813546174483,0.7194796101414842,251.8068757000001,49379,636796,188977152,5.986217300000135,311.38194732756494
lstm,temporal_r1,3,validation,1151,0.8496959165942659,0.3306288032454361,0.30624706434945986,0.30624706434945986,"[""alert"", ""fatigue"", ""distraction""]",[],2.5535980999993626,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_3__seed_42,G3,qualification_r1_w60_b1024,R1,60,42,2,17,0.30624706434945986,1.0182649120349878,0.9593623574146698,2.5535980999993626,51651,651602,377265664,0.025637300001108088,44895.523317597865
lstm,temporal_r1,3,test,1500,0.8993333333333333,0.3344088549831052,0.3255917250303841,0.3255917250303841,"[""alert"", ""fatigue"", ""distraction""]",[],2.5535980999993626,False,G3__qualification_r1_w60_b1024__lstm__r1__w60__fold_3__seed_42,G3,qualification_r1_w60_b1024,R1,60,42,2,17,0.30624706434945986,1.0182649120349878,0.9593623574146698,2.5535980999993626,51651,651602,377265664,0.030757799999264535,48768.11735676372
