model,window_size_frames,fold,subset,comparison,metric,delta
lstm,60,3,test,R2-R0,distraction_f1,-0.4357976653696498
lstm,60,3,test,R2-R0,fatigue_predictions,0
lstm,60,3,test,R2-R1,macro_f1_all_classes,-0.007721709915862518
lstm,60,3,test,R2-R1,balanced_accuracy,-0.0010755216497718711
lstm,60,3,test,R2-R1,fatigue_f1,0.0
lstm,60,3,test,R2-R1,fatigue_recall,0.0
lstm,60,3,test,R2-R1,distraction_f1,-0.029850746268656716
lstm,60,3,test,R2-R1,fatigue_predictions,0
lstm,60,4,validation,R1-R0,macro_f1_all_classes,-0.11288525024821505
lstm,60,4,validation,R1-R0,balanced_accuracy,-0.125288208168643
lstm,60,4,validation,R1-R0,fatigue_f1,0.0
lstm,60,4,validation,R1-R0,fatigue_recall,0.0
lstm,60,4,validation,R1-R0,distraction_f1,-0.3673469387755102
lstm,60,4,validation,R1-R0,fatigue_predictions,0
lstm,60,4,validation,R2-R0,macro_f1_all_classes,-0.025044361568051565
lstm,60,4,validation,R2-R0,balanced_accuracy,-0.030742204655248184
lstm,60,4,validation,R2-R0,fatigue_f1,0.0
lstm,60,4,validation,R2-R0,fatigue_recall,0.0
lstm,60,4,validation,R2-R0,distraction_f1,-0.0665339306454289
lstm,60,4,validation,R2-R0,fatigue_predictions,0
lstm,60,4,validation,R2-R1,macro_f1_all_classes,0.08784088868016349
lstm,60,4,validation,R2-R1,balanced_accuracy,0.09454600351339482
lstm,60,4,validation,R2-R1,fatigue_f1,0.0
lstm,60,4,validation,R2-R1,fatigue_recall,0.0
lstm,60,4,validation,R2-R1,distraction_f1,0.3008130081300813
lstm,60,4,validation,R2-R1,fatigue_predictions,0
lstm,60,4,test,R1-R0,macro_f1_all_classes,-0.06075340280777597
lstm,60,4,test,R1-R0,balanced_accuracy,-0.07338376266412244
lstm,60,4,test,R1-R0,fatigue_f1,0.0
lstm,60,4,test,R1-R0,fatigue_recall,0.0
lstm,60,4,test,R1-R0,distraction_f1,-0.23745036572622777
lstm,60,4,test,R1-R0,fatigue_predictions,0
lstm,60,4,test,R2-R0,macro_f1_all_classes,-0.005009627291704455
lstm,60,4,test,R2-R0,balanced_accuracy,-0.005747126436781547
lstm,60,4,test,R2-R0,fatigue_f1,0.0
lstm,60,4,test,R2-R0,fatigue_recall,0.0
lstm,60,4,test,R2-R0,distraction_f1,-0.008359456635318674
lstm,60,4,test,R2-R0,fatigue_predictions,0
lstm,60,4,test,R2-R1,macro_f1_all_classes,0.055743775516071514
lstm,60,4,test,R2-R1,balanced_accuracy,0.0676366362273409
lstm,60,4,test,R2-R1,fatigue_f1,0.0
lstm,60,4,test,R2-R1,fatigue_recall,0.0
lstm,60,4,test,R2-R1,distraction_f1,0.2290909090909091
lstm,60,4,test,R2-R1,fatigue_predictions,0
tcn,60,1,validation,R1-R0,macro_f1_all_classes,-0.12087355050535542
tcn,60,1,validation,R1-R0,balanced_accuracy,-0.09354226020892686
tcn,60,1,validation,R1-R0,fatigue_f1,0.0
tcn,60,1,validation,R1-R0,fatigue_recall,0.0
tcn,60,1,validation,R1-R0,distraction_f1,-0.38338658146964855
tcn,60,1,validation,R1-R0,fatigue_predictions,0
tcn,60,1,validation,R2-R0,macro_f1_all_classes,-0.12087355050535542
tcn,60,1,validation,R2-R0,balanced_accuracy,-0.09354226020892686
tcn,60,1,validation,R2-R0,fatigue_f1,0.0
tcn,60,1,validation,R2-R0,fatigue_recall,0.0
tcn,60,1,validation,R2-R0,distraction_f1,-0.38338658146964855
tcn,60,1,validation,R2-R0,fatigue_predictions,0
tcn,60,1,validation,R2-R1,macro_f1_all_classes,0.0
tcn,60,1,validation,R2-R1,balanced_accuracy,0.0
tcn,60,1,validation,R2-R1,fatigue_f1,0.0
tcn,60,1,validation,R2-R1,fatigue_recall,0.0
tcn,60,1,validation,R2-R1,distraction_f1,0.0
tcn,60,1,validation,R2-R1,fatigue_predictions,0
tcn,60,1,test,R1-R0,macro_f1_all_classes,-0.2627640859922808
tcn,60,1,test,R1-R0,balanced_accuracy,-0.22032874825391896
tcn,60,1,test,R1-R0,fatigue_f1,0.0
tcn,60,1,test,R1-R0,fatigue_recall,0.0
tcn,60,1,test,R1-R0,distraction_f1,-0.7251908396946565
tcn,60,1,test,R1-R0,fatigue_predictions,0
tcn,60,1,test,R2-R0,macro_f1_all_classes,-0.2627640859922808
tcn,60,1,test,R2-R0,balanced_accuracy,-0.22032874825391896
tcn,60,1,test,R2-R0,fatigue_f1,0.0
tcn,60,1,test,R2-R0,fatigue_recall,0.0
tcn,60,1,test,R2-R0,distraction_f1,-0.7251908396946565
tcn,60,1,test,R2-R0,fatigue_predictions,0
tcn,60,1,test,R2-R1,macro_f1_all_classes,0.0
tcn,60,1,test,R2-R1,balanced_accuracy,0.0
tcn,60,1,test,R2-R1,fatigue_f1,0.0
tcn,60,1,test,R2-R1,fatigue_recall,0.0
tcn,60,1,test,R2-R1,distraction_f1,0.0
tcn,60,1,test,R2-R1,fatigue_predictions,0
tcn,60,2,validation,R1-R0,macro_f1_all_classes,-0.06834596261041836
tcn,60,2,validation,R1-R0,balanced_accuracy,-0.06172839506172839
tcn,60,2,validation,R1-R0,fatigue_f1,0.0
tcn,60,2,validation,R1-R0,fatigue_recall,0.0
tcn,60,2,validation,R1-R0,distraction_f1,-0.23030303030303031
tcn,60,2,validation,R1-R0,fatigue_predictions,0
tcn,60,2,validation,R2-R0,macro_f1_all_classes,-0.06834596261041836
tcn,60,2,validation,R2-R0,balanced_accuracy,-0.06172839506172839
tcn,60,2,validation,R2-R0,fatigue_f1,0.0
tcn,60,2,validation,R2-R0,fatigue_recall,0.0
tcn,60,2,validation,R2-R0,distraction_f1,-0.23030303030303031
tcn,60,2,validation,R2-R0,fatigue_predictions,0
tcn,60,2,validation,R2-R1,macro_f1_all_classes,0.0
tcn,60,2,validation,R2-R1,balanced_accuracy,0.0
tcn,60,2,validation,R2-R1,fatigue_f1,0.0
tcn,60,2,validation,R2-R1,fatigue_recall,0.0
tcn,60,2,validation,R2-R1,distraction_f1,0.0
tcn,60,2,validation,R2-R1,fatigue_predictions,0
tcn,60,2,test,R1-R0,macro_f1_all_classes,-0.21359720315801772
tcn,60,2,test,R1-R0,balanced_accuracy,-0.2587697668709523
tcn,60,2,test,R1-R0,fatigue_f1,0.0
tcn,60,2,test,R1-R0,fatigue_recall,0.0
tcn,60,2,test,R1-R0,distraction_f1,-0.6194029850746269
tcn,60,2,test,R1-R0,fatigue_predictions,0
tcn,60,2,test,R2-R0,macro_f1_all_classes,-0.21359720315801772
tcn,60,2,test,R2-R0,balanced_accuracy,-0.2587697668709523
tcn,60,2,test,R2-R0,fatigue_f1,0.0
tcn,60,2,test,R2-R0,fatigue_recall,0.0
tcn,60,2,test,R2-R0,distraction_f1,-0.6194029850746269
tcn,60,2,test,R2-R0,fatigue_predictions,0
tcn,60,2,test,R2-R1,macro_f1_all_classes,0.0
tcn,60,2,test,R2-R1,balanced_accuracy,0.0
tcn,60,2,test,R2-R1,fatigue_f1,0.0
tcn,60,2,test,R2-R1,fatigue_recall,0.0
tcn,60,2,test,R2-R1,distraction_f1,0.0
tcn,60,2,test,R2-R1,fatigue_predictions,0
tcn,60,3,validation,R1-R0,macro_f1_all_classes,-0.07822282493488342
tcn,60,3,validation,R1-R0,balanced_accuracy,-0.05260933774598764
tcn,60,3,validation,R1-R0,fatigue_f1,0.0
tcn,60,3,validation,R1-R0,fatigue_recall,0.0
tcn,60,3,validation,R1-R0,distraction_f1,-0.0976740160963086
tcn,60,3,validation,R1-R0,fatigue_predictions,0
tcn,60,3,validation,R2-R0,macro_f1_all_classes,-0.004886411959110493
tcn,60,3,validation,R2-R0,balanced_accuracy,-0.007419664780612734
tcn,60,3,validation,R2-R0,fatigue_f1,0.0
tcn,60,3,validation,R2-R0,fatigue_recall,0.0
tcn,60,3,validation,R2-R0,distraction_f1,-0.015195530726256956
tcn,60,3,validation,R2-R0,fatigue_predictions,0
tcn,60,3,validation,R2-R1,macro_f1_all_classes,0.07333641297577292
tcn,60,3,validation,R2-R1,balanced_accuracy,0.045189672965374905
tcn,60,3,validation,R2-R1,fatigue_f1,0.0
tcn,60,3,validation,R2-R1,fatigue_recall,0.0
tcn,60,3,validation,R2-R1,distraction_f1,0.08247848537005165
tcn,60,3,validation,R2-R1,fatigue_predictions,0
tcn,60,3,test,R1-R0,macro_f1_all_classes,-0.1802586501326215
tcn,60,3,test,R1-R0,balanced_accuracy,-0.15080816525586094
tcn,60,3,test,R1-R0,fatigue_f1,0.0
tcn,60,3,test,R1-R0,fatigue_recall,0.0
tcn,60,3,test,R1-R0,distraction_f1,-0.31425070028011204
tcn,60,3,test,R1-R0,fatigue_predictions,0
tcn,60,3,test,R2-R0,macro_f1_all_classes,-0.006375047707897041
tcn,60,3,test,R2-R0,balanced_accuracy,-0.006683909847772285
tcn,60,3,test,R2-R0,fatigue_f1,0.0
tcn,60,3,test,R2-R0,fatigue_recall,0.0
tcn,60,3,test,R2-R0,distraction_f1,-0.01726653696498054
tcn,60,3,test,R2-R0,fatigue_predictions,0
tcn,60,3,test,R2-R1,macro_f1_all_classes,0.17388360242472445
tcn,60,3,test,R2-R1,balanced_accuracy,0.14412425540808865
tcn,60,3,test,R2-R1,fatigue_f1,0.0
tcn,60,3,test,R2-R1,fatigue_recall,0.0
tcn,60,3,test,R2-R1,distraction_f1,0.2969841633151315
tcn,60,3,test,R2-R1,fatigue_predictions,0
tcn,60,4,validation,R1-R0,macro_f1_all_classes,-0.11550020520688759
tcn,60,4,validation,R1-R0,balanced_accuracy,-0.1310935441370224
tcn,60,4,validation,R1-R0,fatigue_f1,0.0
tcn,60,4,validation,R1-R0,fatigue_recall,0.0
tcn,60,4,validation,R1-R0,distraction_f1,-0.38095238095238093
tcn,60,4,validation,R1-R0,fatigue_predictions,0
tcn,60,4,validation,R2-R0,macro_f1_all_classes,-0.008925260260203904
tcn,60,4,validation,R2-R0,balanced_accuracy,-0.006766029863855938
tcn,60,4,validation,R2-R0,fatigue_f1,0.0
tcn,60,4,validation,R2-R0,fatigue_recall,0.0
tcn,60,4,validation,R2-R0,distraction_f1,-0.020799124247400103
tcn,60,4,validation,R2-R0,fatigue_predictions,0
tcn,60,4,validation,R2-R1,macro_f1_all_classes,0.10657494494668368
tcn,60,4,validation,R2-R1,balanced_accuracy,0.12432751427316646
tcn,60,4,validation,R2-R1,fatigue_f1,0.0
tcn,60,4,validation,R2-R1,fatigue_recall,0.0
tcn,60,4,validation,R2-R1,distraction_f1,0.36015325670498083
tcn,60,4,validation,R2-R1,fatigue_predictions,0
tcn,60,4,test,R1-R0,macro_f1_all_classes,-0.05819724066681764
tcn,60,4,test,R1-R0,balanced_accuracy,-0.0680568806505838
tcn,60,4,test,R1-R0,fatigue_f1,0.0
tcn,60,4,test,R1-R0,fatigue_recall,0.0
tcn,60,4,test,R1-R0,distraction_f1,-0.24633431085043989
tcn,60,4,test,R1-R0,fatigue_predictions,0
tcn,60,4,test,R2-R0,macro_f1_all_classes,0.0012472476102528551
tcn,60,4,test,R2-R0,balanced_accuracy,3.4073872154816165e-05
tcn,60,4,test,R2-R0,fatigue_f1,0.0
tcn,60,4,test,R2-R0,fatigue_recall,0.0
tcn,60,4,test,R2-R0,distraction_f1,-8.806460419363837e-05
tcn,60,4,test,R2-R0,fatigue_predictions,0
tcn,60,4,test,R2-R1,macro_f1_all_classes,0.059444488277070495
tcn,60,4,test,R2-R1,balanced_accuracy,0.06809095452273861
tcn,60,4,test,R2-R1,fatigue_f1,0.0
tcn,60,4,test,R2-R1,fatigue_recall,0.0
tcn,60,4,test,R2-R1,distraction_f1,0.24624624624624625
tcn,60,4,test,R2-R1,fatigue_predictions,0
transformer,150,1,validation,R1-R0,macro_f1_all_classes,-0.1012253706239527
transformer,150,1,validation,R1-R0,balanced_accuracy,-0.06422121045776963
transformer,150,1,validation,R1-R0,fatigue_f1,0.0
transformer,150,1,validation,R1-R0,fatigue_recall,0.0
transformer,150,1,validation,R1-R0,distraction_f1,-0.31092436974789917
transformer,150,1,validation,R1-R0,fatigue_predictions,0
transformer,150,1,validation,R2-R0,macro_f1_all_classes,0.004889535828819569
transformer,150,1,validation,R2-R0,balanced_accuracy,0.005932814534965081
transformer,150,1,validation,R2-R0,fatigue_f1,0.0
transformer,150,1,validation,R2-R0,fatigue_recall,0.0
transformer,150,1,validation,R2-R0,distraction_f1,0.01707563025210085
transformer,150,1,validation,R2-R0,fatigue_predictions,0
transformer,150,1,validation,R2-R1,macro_f1_all_classes,0.10611490645277227
transformer,150,1,validation,R2-R1,balanced_accuracy,0.07015402499273471
transformer,150,1,validation,R2-R1,fatigue_f1,0.0
transformer,150,1,validation,R2-R1,fatigue_recall,0.0
transformer,150,1,validation,R2-R1,distraction_f1,0.328
transformer,150,1,validation,R2-R1,fatigue_predictions,0
transformer,150,1,test,R1-R0,macro_f1_all_classes,-0.20109830334849493
transformer,150,1,test,R1-R0,balanced_accuracy,-0.18347327779631806
transformer,150,1,test,R1-R0,fatigue_f1,0.1411764705882353
transformer,150,1,test,R1-R0,fatigue_recall,0.0967741935483871
transformer,150,1,test,R1-R0,distraction_f1,-0.6543841057961046
transformer,150,1,test,R1-R0,fatigue_predictions,23
transformer,150,1,test,R2-R0,macro_f1_all_classes,0.002210962704881525
transformer,150,1,test,R2-R0,balanced_accuracy,0.004278092263647615
