model,subset,seed,accuracy,balanced_accuracy,macro_f1_all_classes,best_epoch,stopping_epoch,best_validation_macro_f1,training_seconds
lstm,test,42,0.809753814882215,0.5893873436083142,0.4543570498566494,12.25,27.25,0.4006237796228053,18.438235499997973
lstm,validation,42,0.8075070478366251,0.42586605199157196,0.4006237796228053,12.25,27.25,0.4006237796228053,18.438235499997973
tcn,test,42,0.8351675341292971,0.5995759746736604,0.4691198677700808,3.5,18.5,0.4112622722691366,1430.1769352999909
tcn,validation,42,0.8256191442649516,0.4283123768301658,0.4112622722691366,3.5,18.5,0.4112622722691366,1430.1769352999909
