model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,2,test,fatigue,distraction,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,alert,82,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,fatigue,14,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,distraction,185,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,alert,737,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,fatigue,40,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,distraction,192,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,alert,11,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,fatigue,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,distraction,0,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,alert,71,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,fatigue,4,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,distraction,70,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,alert,alert,1253,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
transformer,temporal_r0,3,test,alert,fatigue,8,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42
