configuration_id,epoch,fold,generation,learning_rate,model,representation,run_id,seed,training_accuracy,training_loss,training_macro_f1,validation_accuracy,validation_loss,validation_macro_f1,window_size_frames
g4_d_augmentation_w60,1,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.3823854224185533,1.0664289056234502,0.2559113286617308,0.7805084745762711,1.02839189505173,0.407300900158043,60
g4_d_augmentation_w60,2,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8155715074544451,0.999939336558194,0.4943987166526105,0.7932203389830509,0.9493644029407178,0.4070507683266138,60
g4_d_augmentation_w60,3,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8268912203202651,0.9133973509353014,0.4990086065121612,0.8,0.8326275356745316,0.4110994718633196,60
g4_d_augmentation_w60,4,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8296521258972943,0.7823446550664159,0.49970955493929203,0.8084745762711865,0.6507982175228959,0.4141083730177077,60
g4_d_augmentation_w60,5,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8290999447818884,0.6003596417848607,0.4974212018215231,0.8152542372881356,0.49074737995357837,0.4146379889716514,60
g4_d_augmentation_w60,6,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8326891220320265,0.5075409486108166,0.49693567607495953,0.8279661016949152,0.4567395227945457,0.42028737123195414,60
g4_d_augmentation_w60,7,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8255107675317505,0.4941821782250618,0.48182605864419276,0.8288135593220339,0.44450463682918223,0.4208536982730531,60
g4_d_augmentation_w60,8,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.834621755935947,0.4778813440321823,0.5000039772501292,0.8127118644067797,0.43750289668471126,0.41429566664451123,60
g4_d_augmentation_w60,9,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8357261181667587,0.4562658583143678,0.5034857906456129,0.809322033898305,0.43247670410043104,0.4134145424468005,60
g4_d_augmentation_w60,10,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.83489784649365,0.4507064199427884,0.5026283143254439,0.809322033898305,0.42751014909501805,0.4146372195887084,60
g4_d_augmentation_w60,11,1,G4,0.001,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8321369409166206,0.45031718142055005,0.49920149519373824,0.809322033898305,0.4206547114808681,0.4134145424468005,60
g4_d_augmentation_w60,12,1,G4,0.0005,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8321369409166206,0.4454756463219091,0.49714688623624226,0.8084745762711865,0.42113497509794723,0.4141083730177077,60
g4_d_augmentation_w60,13,1,G4,0.0005,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8329652125897294,0.44798145032205483,0.499636468228605,0.8084745762711865,0.42301403102228197,0.4165063882401429,60
g4_d_augmentation_w60,14,1,G4,0.0005,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8343456653782441,0.4429796851023596,0.5019744483159118,0.809322033898305,0.42700236864009145,0.41938363966626646,60
g4_d_augmentation_w60,15,1,G4,0.0005,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8324130314743236,0.44226160699790645,0.501621765167283,0.8084745762711865,0.42667712013600234,0.41884791024012585,60
g4_d_augmentation_w60,16,1,G4,0.00025,lstm,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_1__seed_42,42,0.8337934842628382,0.4431287932962031,0.5023095101150123,0.8084745762711865,0.42669486524695055,0.41884791024012585,60
