model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
lstm,temporal_r0,1,validation,alert,alert,852,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,validation,alert,fatigue,19,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,validation,alert,distraction,143,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,validation,fatigue,alert,2,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,validation,fatigue,fatigue,2,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,validation,fatigue,distraction,0,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,validation,distraction,alert,89,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,validation,distraction,fatigue,3,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,validation,distraction,distraction,70,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,test,alert,alert,734,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,test,alert,fatigue,174,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,test,alert,distraction,180,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,test,fatigue,alert,21,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,test,fatigue,fatigue,5,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,test,fatigue,distraction,41,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,test,distraction,alert,28,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,test,distraction,fatigue,51,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,1,test,distraction,distraction,300,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,validation,alert,alert,740,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,validation,alert,fatigue,138,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,validation,alert,distraction,136,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,validation,fatigue,alert,0,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,validation,fatigue,fatigue,4,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,validation,fatigue,distraction,0,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,validation,distraction,alert,74,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,validation,distraction,fatigue,15,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,validation,distraction,distraction,73,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,test,alert,alert,694,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,test,alert,fatigue,279,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,test,alert,distraction,115,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,test,fatigue,alert,17,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,test,fatigue,fatigue,12,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,test,fatigue,distraction,38,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,test,distraction,alert,21,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,test,distraction,fatigue,57,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,1,test,distraction,distraction,301,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_1__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,validation,alert,alert,829,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,validation,alert,fatigue,1,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,validation,alert,distraction,250,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,validation,fatigue,alert,8,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,validation,fatigue,fatigue,0,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,validation,fatigue,distraction,9,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,validation,distraction,alert,45,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,validation,distraction,fatigue,0,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,validation,distraction,distraction,31,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,test,alert,alert,1435,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,test,alert,fatigue,1,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,test,alert,distraction,135,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,test,fatigue,alert,0,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,test,fatigue,fatigue,0,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,test,fatigue,distraction,0,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,test,distraction,alert,105,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,test,distraction,fatigue,0,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,2,test,distraction,distraction,188,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,validation,alert,alert,812,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,validation,alert,fatigue,77,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,validation,alert,distraction,191,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,validation,fatigue,alert,12,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,validation,fatigue,fatigue,5,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,validation,fatigue,distraction,0,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,validation,distraction,alert,36,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,validation,distraction,fatigue,7,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,validation,distraction,distraction,33,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,test,alert,alert,1414,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,test,alert,fatigue,35,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,test,alert,distraction,122,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,test,fatigue,alert,0,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,test,fatigue,fatigue,0,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,test,fatigue,distraction,0,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,test,distraction,alert,96,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,test,distraction,fatigue,3,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,2,test,distraction,distraction,194,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_2__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,validation,alert,alert,695,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,validation,alert,fatigue,110,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,validation,alert,distraction,181,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,validation,fatigue,alert,6,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,validation,fatigue,fatigue,7,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,validation,fatigue,distraction,0,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,validation,distraction,alert,88,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,validation,distraction,fatigue,4,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,validation,distraction,distraction,60,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,test,alert,alert,1191,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,test,alert,fatigue,33,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,test,alert,distraction,143,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,test,fatigue,alert,14,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,test,fatigue,fatigue,4,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,test,fatigue,distraction,3,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,test,distraction,alert,33,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,test,distraction,fatigue,12,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
lstm,temporal_r0,3,test,distraction,distraction,67,G4__g4_b_class_weights_w60__lstm__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
tcn,temporal_r0,3,validation,alert,alert,799,G4__g4_b_class_weights_w60__tcn__r0__w60__fold_3__seed_42,G4,g4_b_class_weights_w60,R0,60,42
