ablation,actual,configuration_id,count,fold,generation,model,predicted,representation,run_id,seed,subset,window_size_frames
temporal_r0,fatigue,g4_d_augmentation_w60,30,1,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,54,1,G4,tcn,alert,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,0,1,G4,tcn,fatigue,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,distraction,g4_d_augmentation_w60,325,1,G4,tcn,distraction,R0,G4__g4_d_augmentation_w60__tcn__r0__w60__fold_1__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,939,2,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,0,2,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,141,2,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,17,2,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,2,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,2,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,44,2,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,0,2,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,distraction,g4_d_augmentation_w60,32,2,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,validation,60
temporal_r0,alert,g4_d_augmentation_w60,1441,2,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,0,2,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,alert,g4_d_augmentation_w60,130,2,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,2,G4,lstm,alert,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,2,G4,lstm,fatigue,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,test,60
temporal_r0,fatigue,g4_d_augmentation_w60,0,2,G4,lstm,distraction,R0,G4__g4_d_augmentation_w60__lstm__r0__w60__fold_2__seed_42,42,test,60
