model,subset,metric,n,mean,standard_deviation,median,minimum,maximum,ci95_lower,ci95_upper
transformer,test,accuracy,1,0.8377119537412449,0.0,0.8377119537412449,0.8377119537412449,0.8377119537412449,nan,nan
transformer,test,balanced_accuracy,1,0.5913546033902843,0.0,0.5913546033902843,0.5913546033902843,0.5913546033902843,nan,nan
transformer,test,macro_f1_all_classes,1,0.4632629149414816,0.0,0.4632629149414816,0.4632629149414816,0.4632629149414816,nan,nan
transformer,test,best_epoch,1,5.25,0.0,5.25,5.25,5.25,nan,nan
transformer,test,stopping_epoch,1,20.25,0.0,20.25,20.25,20.25,nan,nan
transformer,test,best_validation_macro_f1,1,0.4139099529378248,0.0,0.4139099529378248,0.4139099529378248,0.4139099529378248,nan,nan
transformer,test,training_seconds,1,31.997642199996335,0.0,31.997642199996335,31.997642199996335,31.997642199996335,nan,nan
transformer,validation,accuracy,1,0.8161448502477914,0.0,0.8161448502477914,0.8161448502477914,0.8161448502477914,nan,nan
transformer,validation,balanced_accuracy,1,0.44541106077587256,0.0,0.44541106077587256,0.44541106077587256,0.44541106077587256,nan,nan
transformer,validation,macro_f1_all_classes,1,0.4139099529378248,0.0,0.4139099529378248,0.4139099529378248,0.4139099529378248,nan,nan
transformer,validation,best_epoch,1,5.25,0.0,5.25,5.25,5.25,nan,nan
transformer,validation,stopping_epoch,1,20.25,0.0,20.25,20.25,20.25,nan,nan
transformer,validation,best_validation_macro_f1,1,0.4139099529378248,0.0,0.4139099529378248,0.4139099529378248,0.4139099529378248,nan,nan
transformer,validation,training_seconds,1,31.997642199996335,0.0,31.997642199996335,31.997642199996335,31.997642199996335,nan,nan
