model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,2,test,fatigue,distraction,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,alert,95,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,distraction,186,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,alert,795,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,distraction,174,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,alert,11,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,distraction,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,alert,76,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,distraction,69,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,alert,alert,1280,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,alert,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,alert,distraction,85,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,alert,19,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,fatigue,distraction,3,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,alert,50,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,3,test,distraction,distraction,56,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,alert,882,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,alert,distraction,120,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,alert,12,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,fatigue,distraction,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,alert,52,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,validation,distraction,distraction,39,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,alert,alert,820,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,alert,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,alert,distraction,126,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,alert,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,fatigue,distraction,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,alert,105,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,fatigue,0,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
transformer,temporal_r0,4,test,distraction,distraction,25,G4__g4_d_augmentation_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_d_augmentation_w150,R0,150,42
