model,subset,seed,accuracy,balanced_accuracy,macro_f1_all_classes,best_epoch,stopping_epoch,best_validation_macro_f1,training_seconds
transformer,test,42,0.7713523436192529,0.5920127049391731,0.4503344266486145,8.25,23.25,0.3922781335138759,30.233716200003983
transformer,validation,42,0.7098037367748321,0.46438105690539133,0.3922781335138759,8.25,23.25,0.3922781335138759,30.233716200003983
