run_id,generation,configuration_id,representation,window_size_frames,model,fold,seed,epoch,training_loss,validation_loss,training_macro_f1,validation_macro_f1,training_accuracy,validation_accuracy,learning_rate
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,1,42,21,0.333373932550254,0.8752960890918583,0.8657786172431244,0.40868257752915466,0.8638792832442628,0.7108225108225108,0.00025
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,1,42,22,0.30753408645504265,0.869332556084637,0.8752298554447467,0.40704184117355235,0.8761395787488211,0.7073593073593074,0.00025
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,1,42,23,0.3145537673209082,0.864186205956843,0.8688979355709279,0.4076020313838236,0.8704809808236403,0.7082251082251082,0.000125
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,1,42,24,0.32224798208604405,0.8566456440723303,0.8678138401369546,0.4076960849962055,0.867966048412449,0.70995670995671,0.000125
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,1,42,25,0.31891733775233294,0.8525703471460384,0.8701486168088048,0.4066808435229488,0.8701666142722414,0.70995670995671,0.000125
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,1,0.9415779728976102,0.6833759180430709,0.4753647633816504,0.3210680089097168,0.5695317959468903,0.7629310344827587,0.001
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,2,0.8188561473502552,0.7756879091262817,0.6822691642745088,0.3504058424621805,0.686932215234102,0.7232758620689655,0.001
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,3,0.745191649862472,0.8573292687021453,0.7615519082472121,0.34136327634067665,0.7606568832983928,0.6887931034482758,0.001
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,4,0.7098642467702709,0.836191005131294,0.7843975238035755,0.34239083718295754,0.7833682739343116,0.6974137931034483,0.001
G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,transformer,2,42,5,0.6998621643964099,0.7913233234964568,0.7810946687886062,0.3587981979460155,0.7791754018169113,0.728448275862069,0.001
