model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,generation,configuration_id,representation,window_size_frames,seed,best_epoch,stopping_epoch,best_validation_macro_f1,best_training_loss,best_validation_loss,training_seconds,parameter_count,model_size_bytes,peak_gpu_memory_bytes,inference_seconds,inference_windows_per_second
transformer,temporal_r0,1,validation,1155,0.7186147186147186,0.40594142529626404,0.41470533295974593,0.41470533295974593,"[""alert"", ""fatigue"", ""distraction""]",[],12.699257600004785,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42,21,36,0.41470533295974593,0.3844847483703904,1.1624236817999836,12.699257600004785,17443,269619,568797184,0.03534190000209492,32680.755701632806
transformer,temporal_r0,1,test,1528,0.6714659685863874,0.5268836619168455,0.4498616628088519,0.4498616628088519,"[""alert"", ""fatigue"", ""distraction""]",[],12.699257600004785,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_1__seed_42,G4,g4_b_class_weights_w150,R0,150,42,21,36,0.41470533295974593,0.3844847483703904,1.1624236817999836,12.699257600004785,17443,269619,568797184,0.04385480000200914,34842.2521578025
transformer,temporal_r0,2,validation,1160,0.7396551724137931,0.4424480346268056,0.36037836164034615,0.36037836164034615,"[""alert"", ""fatigue"", ""distraction""]",[],6.0448199000020395,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42,6,21,0.36037836164034615,0.6412090390899813,1.2218461620396581,6.0448199000020395,17443,267955,568971264,0.031664299996919,36634.31688408935
transformer,temporal_r0,2,test,1841,0.8625746876697447,0.778860981841409,0.7732553366174055,0.5155035577449371,"[""alert"", ""distraction""]","[""fatigue""]",6.0448199000020395,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_b_class_weights_w150,R0,150,42,6,21,0.36037836164034615,0.6412090390899813,1.2218461620396581,6.0448199000020395,17443,267955,568971264,0.05125170000246726,35920.75969990018
transformer,temporal_r0,3,validation,1125,0.7173333333333334,0.4144455120221107,0.38945504381745993,0.38945504381745993,"[""alert"", ""fatigue"", ""distraction""]",[],8.368622800000594,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42,11,26,0.38945504381745993,0.4064694796556053,1.708216694633166,8.368622800000594,17443,268531,568971264,0.03353550000610994,33546.54022737197
transformer,temporal_r0,3,test,1493,0.883456128600134,0.5135300757942267,0.4695919323578898,0.4695919323578898,"[""alert"", ""fatigue"", ""distraction""]",[],8.368622800000594,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_b_class_weights_w150,R0,150,42,11,26,0.38945504381745993,0.4064694796556053,1.708216694633166,8.368622800000594,17443,268531,568971264,0.04148669999995036,35987.43693766403
transformer,temporal_r0,4,validation,1105,0.6669683257918552,0.5497210706791545,0.38661679543980837,0.38661679543980837,"[""alert"", ""fatigue"", ""distraction""]",[],7.096104100004595,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42,3,18,0.38661679543980837,0.662682087354093,1.0632419312701507,7.096104100004595,17443,267635,568971264,0.043061099997430574,25661.211628730678
transformer,temporal_r0,4,test,1076,0.6812267657992565,0.5566189624329159,0.5433310715488667,0.36222071436591113,"[""alert"", ""distraction""]","[""fatigue""]",7.096104100004595,False,G4__g4_b_class_weights_w150__transformer__r0__w150__fold_4__seed_42,G4,g4_b_class_weights_w150,R0,150,42,3,18,0.38661679543980837,0.662682087354093,1.0632419312701507,7.096104100004595,17443,267635,568971264,0.04493430000002263,23946.072376769152
