model,ablation,fold,subset,actual,predicted,count,run_id,generation,configuration_id,representation,window_size_frames,seed
transformer,temporal_r0,2,test,fatigue,alert,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,test,fatigue,fatigue,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,test,fatigue,distraction,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,alert,81,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,fatigue,17,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,2,test,distraction,distraction,183,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_2__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,alert,742,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,fatigue,40,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,alert,distraction,187,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,alert,11,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,fatigue,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,fatigue,distraction,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,alert,69,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,fatigue,0,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
transformer,temporal_r0,3,validation,distraction,distraction,76,G4__g4_c_weighted_sampling_w150__transformer__r0__w150__fold_3__seed_42,G4,g4_c_weighted_sampling_w150,R0,150,42
