model,ablation,fold,subset,num_windows,accuracy,balanced_accuracy,macro_f1_present_classes,macro_f1_all_classes,present_classes,absent_classes,train_seconds,resumed_checkpoint,run_id,scope,paradigm,family,seed,representation,window_size_frames,balancing,fingerprint,source,pr_auc_status,event_metrics_status
logistic_regression,R0_flat,4,validation,1137,0.7968337730870713,0.6045426028957752,0.5766277812076361,0.5766277812076361,"[""attention"", ""distraction""]",[],0.026437391999934334,False,final__screening__feature__logistic_regression__r0_flat__w30__fold_4__seed_42,screening,feature,classical,42,R0_flat,30,none,23326c9ff45258ebbadc8dcbda537a89feb1068208ae9090d6121dd67bf2699a,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,1,validation,1180,0.8076271186440678,0.593349730282075,0.5949952749952749,0.5949952749952749,"[""attention"", ""distraction""]",[],0.05133721200036234,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_1__seed_42,screening,feature,classical,42,R0_flat,60,none,0a00f6f4d4d041198ae50e838b879853519b04b0f40b5e12195a724b00eae752,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,2,validation,1173,0.8235294117647058,0.5749701314217444,0.5507933835677008,0.5507933835677008,"[""attention"", ""distraction""]",[],0.052604215999963344,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_2__seed_42,screening,feature,classical,42,R0_flat,60,none,7cfb8421002541baf40340ceaf5a4315980cb5b3b76b010585090010cdb796e9,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,3,validation,1151,0.7593397046046916,0.5617954391788064,0.5549601410383291,0.5549601410383291,"[""attention"", ""distraction""]",[],0.04989994300012768,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_3__seed_42,screening,feature,classical,42,R0_flat,60,none,58b872cba4576885ace502ddc79abf3b877defa26b7022eea97499950e075df2,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,4,validation,1125,0.7831111111111111,0.5885742768197558,0.5578400041236051,0.5578400041236051,"[""attention"", ""distraction""]",[],0.05515097300030902,False,final__screening__feature__logistic_regression__r0_flat__w60__fold_4__seed_42,screening,feature,classical,42,R0_flat,60,none,a57facbb0c7244d89eaa553dd90168ddb698b0765789f96d350273ae86700e97,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,1,validation,1155,0.8095238095238095,0.5572206822206822,0.5610367892976589,0.5610367892976589,"[""attention"", ""distraction""]",[],0.19567573000040284,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_1__seed_42,screening,feature,classical,42,R0_flat,150,none,d52388c99ee1924b9ece4138166034a1a205c22b102c417d9a0933e2edd57c54,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,2,validation,1160,0.7913793103448276,0.5289939803386601,0.5085434173669467,0.5085434173669467,"[""attention"", ""distraction""]",[],0.16684686500047974,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_2__seed_42,screening,feature,classical,42,R0_flat,150,none,a04cd6f7191492b05d1415e6bfdefb5b766908f8dbd23e82639c05b3ebf7fa1a,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,3,validation,1125,0.7511111111111111,0.5408926728586172,0.5349427758158433,0.5349427758158433,"[""attention"", ""distraction""]",[],0.16569942600017384,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_3__seed_42,screening,feature,classical,42,R0_flat,150,none,8de7efbeaa146e61d106ccc192b6835923ab6066036afaa22576338a41cb0c5d,new,average_precision_not_trapezoidal_auc,pending_confirmation
logistic_regression,R0_flat,4,validation,1105,0.7484162895927602,0.5259141910354049,0.5048517085751129,0.5048517085751129,"[""attention"", ""distraction""]",[],0.17717452200031403,False,final__screening__feature__logistic_regression__r0_flat__w150__fold_4__seed_42,screening,feature,classical,42,R0_flat,150,none,6af0f757ce91e46e810f37c3c3e32d6bf10f9051f2b0473ec92d04f6684c3e11,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,1,validation,1194,0.8509212730318257,0.49706457925636005,0.4597285067873303,0.4597285067873303,"[""attention"", ""distraction""]",[],5.778173065999908,False,final__screening__feature__svm__r0_flat__w30__fold_1__seed_42,screening,feature,classical,42,R0_flat,30,none,cc880fa8ca1681ef8f643239ea5fba3747e935ff758e65ef6f3d3554e7e110e7,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,2,validation,1185,0.8194092827004219,0.58016630392321,0.555616693769977,0.555616693769977,"[""attention"", ""distraction""]",[],8.300312581999606,False,final__screening__feature__svm__r0_flat__w30__fold_2__seed_42,screening,feature,classical,42,R0_flat,30,none,ea837dd20a9c6cf8e1ad1c9376312683341f7b0371b28814c8be5b18c1caaafe,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,3,validation,1158,0.7564766839378239,0.5851139796759133,0.570501893939394,0.570501893939394,"[""attention"", ""distraction""]",[],10.503846673000226,False,final__screening__feature__svm__r0_flat__w30__fold_3__seed_42,screening,feature,classical,42,R0_flat,30,none,3f76fc89ed677a2aa3b8dba3dd1c62ca56ab6bbd53181fa41fa32a70c3c8c511,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,4,validation,1137,0.8117854001759015,0.6091817866635849,0.586789799744586,0.586789799744586,"[""attention"", ""distraction""]",[],12.36981698299951,False,final__screening__feature__svm__r0_flat__w30__fold_4__seed_42,screening,feature,classical,42,R0_flat,30,none,8170a48df6960c07e2ce80387238cf392d97552fa797202ac5aebb104caf8d6a,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,1,validation,1180,0.8016949152542373,0.6050117630284452,0.6018480066445182,0.6018480066445182,"[""attention"", ""distraction""]",[],9.866180464000536,False,final__screening__feature__svm__r0_flat__w60__fold_1__seed_42,screening,feature,classical,42,R0_flat,60,none,4ef92f5ac41fceab3b3ce36d8880a8038f503f7eb797aa59fd69573ce628b9d7,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,2,validation,1173,0.8098891730605285,0.5479091995221028,0.5287654501137647,0.5287654501137647,"[""attention"", ""distraction""]",[],21.391069237999545,False,final__screening__feature__svm__r0_flat__w60__fold_2__seed_42,screening,feature,classical,42,R0_flat,60,none,c434d281a555454dae2e9d742d1e01fe918085d671b0a414d9ed43a5ac0588c2,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,3,validation,1151,0.7532580364900087,0.5658153543549082,0.556172879735836,0.556172879735836,"[""attention"", ""distraction""]",[],25.08507540299979,False,final__screening__feature__svm__r0_flat__w60__fold_3__seed_42,screening,feature,classical,42,R0_flat,60,none,b493e8e57547f76cda1db1a4a62800c4fa2d299d4e6221f76a273f173948d6d0,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,4,validation,1125,0.7822222222222223,0.5920109132883277,0.5594405594405594,0.5594405594405594,"[""attention"", ""distraction""]",[],26.202650741999605,False,final__screening__feature__svm__r0_flat__w60__fold_4__seed_42,screening,feature,classical,42,R0_flat,60,none,173335ae4e7f69543b2fa1c93dc917616a1ef7650d1e2cd46e0ea18b70d5f53d,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,1,validation,1155,0.7792207792207793,0.5532263032263032,0.5503771473584419,0.5503771473584419,"[""attention"", ""distraction""]",[],4.690414104000411,False,final__screening__feature__svm__r0_flat__w150__fold_1__seed_42,screening,feature,classical,42,R0_flat,150,none,53719512050d323f6f60978f1d6d3cf988ca1006257f23402ab3957925356a78,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,2,validation,1160,0.7508620689655172,0.5071131609718073,0.48560021236406936,0.48560021236406936,"[""attention"", ""distraction""]",[],13.318084192999777,False,final__screening__feature__svm__r0_flat__w150__fold_2__seed_42,screening,feature,classical,42,R0_flat,150,none,ef1774b61c537db8b494e844e795b2a31e364ca26e6afabcab39610ec3969e12,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,3,validation,1125,0.7342222222222222,0.5337778836230849,0.5256371023354661,0.5256371023354661,"[""attention"", ""distraction""]",[],15.242124047000289,False,final__screening__feature__svm__r0_flat__w150__fold_3__seed_42,screening,feature,classical,42,R0_flat,150,none,e55a1c5a58f37cee3ceac3e203d79eb6658f3bf386f6133483c2915b254c7c95,new,average_precision_not_trapezoidal_auc,pending_confirmation
svm,R0_flat,4,validation,1105,0.7339366515837104,0.5135747921632463,0.4938962835564197,0.4938962835564197,"[""attention"", ""distraction""]",[],9.572449723999853,False,final__screening__feature__svm__r0_flat__w150__fold_4__seed_42,screening,feature,classical,42,R0_flat,150,none,97d501943e39f42a9d259dc2ff7c79efefed6329a054c49c88eeb990e708aa13,new,average_precision_not_trapezoidal_auc,pending_confirmation
random_forest,R0_flat,1,validation,1194,0.8291457286432161,0.6076491603331361,0.6176753121998079,0.6176753121998079,"[""attention"", ""distraction""]",[],3.9315269210001134,False,final__screening__feature__random_forest__r0_flat__w30__fold_1__seed_42,screening,feature,classical,42,R0_flat,30,none,98ac24a9d9809e604fc34fdecb98af1267f5be7fa51ec9070f8973b3e17e6bac,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,2,validation,1185,0.8270042194092827,0.5843099503320498,0.5616187937727041,0.5616187937727041,"[""attention"", ""distraction""]",[],2.5830724870002086,False,final__screening__feature__random_forest__r0_flat__w30__fold_2__seed_42,screening,feature,classical,42,R0_flat,30,none,2cfc02428a3a34d88d73bb07ad2d35d1e49ede899c1bfae0ad1dda71531ebec1,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,3,validation,1158,0.7797927461139896,0.5860752540510848,0.5796960557273867,0.5796960557273867,"[""attention"", ""distraction""]",[],3.7841430750004292,False,final__screening__feature__random_forest__r0_flat__w30__fold_3__seed_42,screening,feature,classical,42,R0_flat,30,none,3fa6b22b67482d4024d39dabb3bb42cb9c24ef64c605758ca37ff9adc4fc51b2,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,4,validation,1137,0.820580474934037,0.6289354641660201,0.6038381657694094,0.6038381657694094,"[""attention"", ""distraction""]",[],4.414382937000482,False,final__screening__feature__random_forest__r0_flat__w30__fold_4__seed_42,screening,feature,classical,42,R0_flat,30,none,f9c9d747dcb4c6cdcecee81a8c94fb74ffabd7fbc83c1857e1f8145ff31355f5,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,1,validation,1180,0.8440677966101695,0.6069960314631306,0.6225207933461292,0.6225207933461292,"[""attention"", ""distraction""]",[],5.993133131999457,False,final__screening__feature__random_forest__r0_flat__w60__fold_1__seed_42,screening,feature,classical,42,R0_flat,60,none,9aa1db4e77a75308a7f652ac278b8b9e45257d1d33744fc840b4999236e0cefb,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,2,validation,1173,0.8312020460358056,0.6037037037037037,0.5717715170735305,0.5717715170735305,"[""attention"", ""distraction""]",[],3.587754634999328,False,final__screening__feature__random_forest__r0_flat__w60__fold_2__seed_42,screening,feature,classical,42,R0_flat,60,none,face08d51fae85510e6f99d2fc73f9a3346a541409ab3d9107e0a18790a40080,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,3,validation,1151,0.788879235447437,0.5891296330444403,0.5857412632467619,0.5857412632467619,"[""attention"", ""distraction""]",[],5.345421282999268,False,final__screening__feature__random_forest__r0_flat__w60__fold_3__seed_42,screening,feature,classical,42,R0_flat,60,none,ac150b6971bf6b2455fa986ca382a9bc9910cde6582b7234cef865ae2459bc7b,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,4,validation,1125,0.8311111111111111,0.6388383644058904,0.6124909354604786,0.6124909354604786,"[""attention"", ""distraction""]",[],6.716341663000094,False,final__screening__feature__random_forest__r0_flat__w60__fold_4__seed_42,screening,feature,classical,42,R0_flat,60,none,9516aa57ecf8fc18a767310dd5fc6aa9fbe3480c166494ed7e911ddfea33f006,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,1,validation,1155,0.8545454545454545,0.594065219065219,0.6122736064708985,0.6122736064708985,"[""attention"", ""distraction""]",[],8.687678878000042,False,final__screening__feature__random_forest__r0_flat__w150__fold_1__seed_42,screening,feature,classical,42,R0_flat,150,none,01578fb558239795a08c0b68be70fd10b20da25bdbd2bc11da4992d47210f781,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,2,validation,1160,0.8413793103448276,0.614828288077606,0.5786348273792602,0.5786348273792602,"[""attention"", ""distraction""]",[],5.029661015999409,False,final__screening__feature__random_forest__r0_flat__w150__fold_2__seed_42,screening,feature,classical,42,R0_flat,150,none,dcbda07fc203bb59607b1d8e6d65bf65941bde1b4f411b6b05b1736fa99322c5,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,3,validation,1125,0.8026666666666666,0.5815769627689132,0.5824528200944267,0.5824528200944267,"[""attention"", ""distraction""]",[],8.017331178999484,False,final__screening__feature__random_forest__r0_flat__w150__fold_3__seed_42,screening,feature,classical,42,R0_flat,150,none,2116eabd6a4e0f416fb6b3f486a65d744dfb45b913e0d7d576ba807d23b9c148,new,pending_probability_support,pending_confirmation
random_forest,R0_flat,4,validation,1105,0.8253393665158371,0.6249491308644847,0.5941435175053142,0.5941435175053142,"[""attention"", ""distraction""]",[],10.511238762000175,False,final__screening__feature__random_forest__r0_flat__w150__fold_4__seed_42,screening,feature,classical,42,R0_flat,150,none,f7c2696bcc2164d2411f44743df2e2677c9c4a426b0932291ca9daf1127a4380,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,1,validation,1194,0.8283082077051926,0.6192486233104264,0.627163152868134,0.627163152868134,"[""attention"", ""distraction""]",[],1.4257103979998647,False,final__screening__feature__xgboost__r0_flat__w30__fold_1__seed_42,screening,feature,classical,42,R0_flat,30,none,5aec03d7dfe66a97d3fe91727fc47dea0d3e955c86ecb6752712662879504fbf,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,2,validation,1185,0.8261603375527427,0.5884396450694793,0.5638275822636438,0.5638275822636438,"[""attention"", ""distraction""]",[],1.1726319800000056,False,final__screening__feature__xgboost__r0_flat__w30__fold_2__seed_42,screening,feature,classical,42,R0_flat,30,none,ef09d40475c27c2fa50102d485dcff7e56c531581a29a3e3ba4460e6a2b7a8b9,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,3,validation,1158,0.772020725388601,0.5840703103542982,0.5754117941168301,0.5754117941168301,"[""attention"", ""distraction""]",[],1.233549951999521,False,final__screening__feature__xgboost__r0_flat__w30__fold_3__seed_42,screening,feature,classical,42,R0_flat,30,none,2f55f71fd4bfea7a643b42c8f97ff1521e4df95e8947f07b7b6bbae58921408f,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,4,validation,1137,0.8170624450307827,0.6121287414769444,0.5913633661860858,0.5913633661860858,"[""attention"", ""distraction""]",[],1.2637748230008583,False,final__screening__feature__xgboost__r0_flat__w30__fold_4__seed_42,screening,feature,classical,42,R0_flat,30,none,2a425ad27873cc71949e0c7ecee2901dd4ac8c5763fe36b890668845de90789f,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,1,validation,1180,0.8347457627118644,0.6015719683467597,0.6132454605505328,0.6132454605505328,"[""attention"", ""distraction""]",[],2.5128216179991796,False,final__screening__feature__xgboost__r0_flat__w60__fold_1__seed_42,screening,feature,classical,42,R0_flat,60,none,0fde95b1bff2467d3219cc931f7c8c8ce17ae8674d3664c10f019ff8c240d659,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,2,validation,1173,0.8294970161977835,0.5880376344086021,0.5615281100478469,0.5615281100478469,"[""attention"", ""distraction""]",[],2.4711652269998012,False,final__screening__feature__xgboost__r0_flat__w60__fold_2__seed_42,screening,feature,classical,42,R0_flat,60,none,08b45f2930d769c3f5f66aaa2a2cbc9ee1fd7346608dc490e79376d961623f14,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,3,validation,1151,0.7793223284100782,0.5734587251828631,0.570062588971635,0.570062588971635,"[""attention"", ""distraction""]",[],2.5129700529996626,False,final__screening__feature__xgboost__r0_flat__w60__fold_3__seed_42,screening,feature,classical,42,R0_flat,60,none,45860be95418e9cc7ebb73a72964c7d247e29a774d1f25f472e6bf63685f95f5,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,4,validation,1125,0.824,0.6270243800062961,0.6010523978049375,0.6010523978049375,"[""attention"", ""distraction""]",[],2.6123854909992588,False,final__screening__feature__xgboost__r0_flat__w60__fold_4__seed_42,screening,feature,classical,42,R0_flat,60,none,fbd6990ed17975fc2c3a9fa04c173f002588e1d22907c9012e95fc8d05f2bed5,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,1,validation,1155,0.8519480519480519,0.5898590898590899,0.6067838520668709,0.6067838520668709,"[""attention"", ""distraction""]",[],6.41870513000049,False,final__screening__feature__xgboost__r0_flat__w150__fold_1__seed_42,screening,feature,classical,42,R0_flat,150,none,761d29b1629fdc3960f25cd31fac8ecff78739b073b44d277a5efcd656635882,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,2,validation,1160,0.8405172413793104,0.6143627387293751,0.5778706663388247,0.5778706663388247,"[""attention"", ""distraction""]",[],6.259469024000282,False,final__screening__feature__xgboost__r0_flat__w150__fold_2__seed_42,screening,feature,classical,42,R0_flat,150,none,f7f7c81c953be7c148aabd54831e79a1750cf3c083cd8e2627af52ee4ddda0e9,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,3,validation,1125,0.7991111111111111,0.5795129792807812,0.5795129792807812,0.5795129792807812,"[""attention"", ""distraction""]",[],6.4189605270003085,False,final__screening__feature__xgboost__r0_flat__w150__fold_3__seed_42,screening,feature,classical,42,R0_flat,150,none,57a6636b27f42c3ca2740cfcf5db42563107434bb6de8f923a80ee114edd6c96,new,pending_probability_support,pending_confirmation
xgboost,R0_flat,4,validation,1105,0.8262443438914027,0.6210927659244617,0.592357471140692,0.592357471140692,"[""attention"", ""distraction""]",[],6.767415158000404,False,final__screening__feature__xgboost__r0_flat__w150__fold_4__seed_42,screening,feature,classical,42,R0_flat,150,none,f66fc4a2bc34b1a461a9e3c75a982eeebdf950b43bdb8ce9786ba062d15b90c8,new,pending_probability_support,pending_confirmation
