run_id,scope,paradigm,family,phase,model,representation,window_size_frames,fold,seed,balancing,fingerprint,status,source,artifact,duration_seconds,updated_at,message
final__screening__deep__tcn__r0__w150__fold_1__seed_42,screening,deep,temporal,screening,tcn,R0,150,1,42,class_weights,be7e4f750c6115e4614e683204f0310031273484d4f309f863d7aec7a77fbdb6,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__tcn__r0__w150__fold_2__seed_42,screening,deep,temporal,screening,tcn,R0,150,2,42,class_weights,67ae72d7fb14081e8b64e22f938e607d6bdd6508d059e1be3367692c95f930a0,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__tcn__r0__w150__fold_3__seed_42,screening,deep,temporal,screening,tcn,R0,150,3,42,class_weights,cc1b876bdf1ce33e0e22d199bffda89fe6d5eaa8c311f8c6aec9cdc99a237dec,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__tcn__r0__w150__fold_4__seed_42,screening,deep,temporal,screening,tcn,R0,150,4,42,class_weights,36db8b1eb5be6549fc85cc85de2cb4ee7b03099bd7ebb03061069c05b1c71e74,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__tcn__r0__w30__fold_1__seed_42,screening,deep,temporal,screening,tcn,R0,30,1,42,class_weights,12d36abdb90ad6e50796b60a72902c20af1224b103f07d8c573386669530dc42,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__tcn__r0__w30__fold_2__seed_42,screening,deep,temporal,screening,tcn,R0,30,2,42,class_weights,304254a5ea41634495fb7341bf95aae213092ceea3459287aa2a471932d337e8,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__tcn__r0__w30__fold_3__seed_42,screening,deep,temporal,screening,tcn,R0,30,3,42,class_weights,718e6c15ec3f36c5790624c8fc3601af547ae58385090ab6504f2875d027f871,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__tcn__r0__w30__fold_4__seed_42,screening,deep,temporal,screening,tcn,R0,30,4,42,class_weights,afef027039780e5a693200bf7c14907e10725d3fa5dfbcaa173f59fe93bc8b7f,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__tcn__r0__w60__fold_1__seed_42,screening,deep,temporal,screening,tcn,R0,60,1,42,class_weights,03e01566d30bbea4844050b82c4bcd00b5e45b1a6017196f622bb25547644878,pending,new,,,2026-09-15T18:12:46+00:00,
final__screening__deep__tcn__r0__w60__fold_2__seed_42,screening,deep,temporal,screening,tcn,R0,60,2,42,class_weights,6ef38c0e66e5c5221b6e04124ab0c3d5fc90bc85edabe0b7d6a6f5f9d1c262b4,pending,new,,,2026-09-15T18:12:46+00:00,
